Unnamed: 0,Ratings,RAM,ROM,Mobile_Size,Primary_Cam,Selfi_Cam,Battery_Power,Price
611,4.4,8.0,256.0,6.44,48,13.0,4440,37990
823,4.0,6.0,32.0,4.54,64,9.78483245149912,2500,1695
290,4.5,6.0,128.0,6.18,35,5.0,3800,18999
801,4.2,4.0,4.0,4.5,64,13.0,3500,1599
168,4.3,4.0,64.0,4.8,38,2.0,3000,15999
689,3.8,6.0,32.0,4.7,64,22.0,2500,3999
822,4.4,6.0,64.0,6.4,48,5.0,3800,18999
86,3.4,6.0,32.0,4.77,48,9.78483245149912,3000,785
260,3.5,6.0,64.0,4.5,48,9.78483245149912,3000,639
548,4.0,6.0,32.0,4.54,64,9.78483245149912,2500,1695
601,4.1,6.0,32.0,4.4,48,9.78483245149912,2500,985
137,4.3,8.0,128.0,6.4,48,5.0,3500,22999
265,4.5,4.0,128.0,6.5,48,8.0,5000,11999
215,4.4,4.0,128.0,6.35,38,2.0,5000,13900
30,3.9,6.0,32.0,4.5,64,15.0,3000,999
382,4.4,8.0,256.0,6.44,48,8.0,4700,31990
247,3.6,6.0,64.0,4.5,48,9.78483245149912,3000,1199
259,3.5,6.0,64.0,4.5,48,8.0,3000,639
794,4.2,4.0,4.0,4.5,64,13.0,3500,1575
704,3.5,6.0,64.0,4.5,48,5.0,3000,1199
487,3.8,6.0,32.0,4.4,48,9.78483245149912,3000,930
63,4.5,6.0,64.0,5.99,35,5.0,3800,13999
210,3.3,6.0,25.0,4.54,64,9.78483245149912,3000,715
497,4.2,8.0,128.0,6.59,35,5.0,3800,29990
239,4.5,8.0,256.0,6.3,35,12.0,3500,75000
535,4.1,3.0,32.0,5.4,38,5.0,3000,7490
109,4.1,6.0,32.0,4.5,48,9.78483245149912,3000,1099
514,3.9,6.0,64.0,4.54,48,9.78483245149912,3600,1799
725,3.9,6.0,32.0,4.54,48,13.0,3000,1350
342,4.5,8.0,128.0,6.7,35,12.0,4700,39999
625,4.4,8.0,256.0,6.44,48,8.0,4700,31990
357,3.9,6.0,32.0,4.5,48,5.0,3000,849
139,4.1,4.0,16.0,4.4,64,9.78483245149912,3500,1549
591,4.5,6.0,128.0,6.4,64,8.0,6000,19900
39,3.9,6.0,32.0,4.54,48,5.0,3000,1330
693,3.8,6.0,32.0,4.77,48,9.78483245149912,3000,995
483,4.4,3.0,32.0,6.2,48,1.0,3800,9790
551,3.7,10.0,32.0,4.5,64,9.78483245149912,3500,799
67,4.7,8.0,64.0,6.1,35,12.0,3800,68300
65,4.5,6.0,128.0,6.39,48,13.0,3800,24999
417,3.5,6.0,64.0,4.5,48,9.78483245149912,3000,649
635,3.6,6.0,64.0,4.5,48,9.78483245149912,3000,649
23,3.8,6.0,32.0,4.54,25,23.0,3000,1240
655,4.3,8.0,128.0,6.52,48,8.0,5000,15990
443,3.5,6.0,64.0,4.5,48,16.0,3000,1199
66,4.7,12.0,256.0,4.7,35,7.0,5000,56999
789,4.1,6.0,32.0,4.5,64,12.0,3000,649
623,3.9,6.0,32.0,4.5,48,9.78483245149912,3000,849
507,4.3,3.0,64.0,5.7,35,20.0,3500,42998
199,4.3,4.0,128.0,5.84,38,2.0,3000,19999
547,4.1,6.0,32.0,4.54,64,20.0,3500,949
665,4.5,6.0,128.0,6.4,64,8.0,6000,19900
412,4.2,8.0,51.0,4.54,48,9.78483245149912,1750,1599
250,3.8,6.0,64.0,4.5,48,11.0,3500,870
545,4.3,4.0,4.0,4.77,64,9.78483245149912,3500,1349
541,3.9,6.0,32.0,4.5,48,15.0,3000,900
738,4.3,4.0,128.0,6.4,48,8.0,3800,18570
442,4.2,4.0,64.0,4.5,64,16.0,3000,1099
585,4.5,6.0,64.0,5.5,35,12.0,3500,36999
422,3.7,6.0,32.0,4.54,64,9.78483245149912,2800,899
832,4.1,8.0,64.0,4.54,64,9.78483245149912,2500,1390
411,3.9,6.0,32.0,4.5,64,12.0,2000,749
694,3.8,6.0,32.0,4.77,48,5.0,4700,959
96,4.3,4.0,64.0,2.0,64,9.78483245149912,3500,1625
682,3.7,4.0,64.0,5.99,38,13.0,3800,24999
208,4.1,6.0,32.0,4.5,48,20.0,3000,1111
640,4.2,4.0,4.0,4.54,48,9.78483245149912,1020,2135
718,4.3,4.0,4.0,4.77,64,9.78483245149912,3500,1349
465,4.3,1.0,16.0,4.5,48,8.0,3000,798
426,4.4,4.0,64.0,6.35,38,2.0,5000,12900
734,4.5,8.0,128.0,6.7,48,12.0,4700,42999
49,4.0,6.0,32.0,4.54,64,14.0,2500,1695
363,4.1,6.0,32.0,44.0,48,5.0,3000,970
244,3.7,6.0,64.0,4.5,48,9.78483245149912,3000,639
78,4.0,3.0,32.0,5.5,38,5.0,3000,103000
774,4.6,8.0,128.0,6.1,48,12.0,3000,563000
204,4.0,6.0,32.0,4.5,64,9.78483245149912,3000,599
831,3.8,6.0,32.0,4.54,48,12.0,2800,1299
33,4.2,6.0,128.0,6.53,48,2.0,3800,15999
31,4.5,6.0,128.0,6.4,35,13.0,3800,54990
816,4.2,4.0,4.0,4.5,64,13.0,3500,1575
537,4.3,1.0,16.0,4.5,48,8.0,3000,798
439,4.1,10.0,25.0,6.41,48,2.0,3000,39999
212,3.9,6.0,32.0,4.54,48,9.78483245149912,1200,1199
