Unnamed: 0,Ratings,RAM,ROM,Mobile_Size,Primary_Cam,Selfi_Cam,Battery_Power,Price
218,4.2,6.0,128.0,6.08,48,8.0,4030,17398
448,4.5,6.0,64.0,5.5,35,12.0,3500,36999
211,4.2,8.0,64.0,4.77,48,32.0,3000,749
72,3.9,6.0,32.0,4.5,48,9.78483245149912,3000,999
77,4.0,6.0,32.0,4.54,48,9.78483245149912,1900,1349
120,3.6,6.0,2.4,4.5,48,9.78483245149912,3000,1190
530,3.6,6.0,32.0,4.54,38,0.0,1200,945
300,4.5,8.0,256.0,6.67,48,8.0,3800,43999
771,3.8,6.0,32.0,4.54,48,9.78483245149912,3000,1349
155,4.1,6.0,32.0,4.77,48,9.78483245149912,3000,649
291,4.7,8.0,64.0,5.8,35,12.0,3500,140300
812,4.3,4.0,64.0,6.2,38,2.0,4230,15656
355,4.3,6.0,64.0,6.5,48,8.0,5000,18499
266,4.5,4.0,128.0,6.5,48,8.0,5000,11999
529,3.6,6.0,32.0,4.54,38,20.0,1200,945
319,4.6,8.0,128.0,6.55,48,1.0,3000,37319
757,3.8,6.0,32.0,4.5,64,9.78483245149912,3500,1299
751,4.4,8.0,128.0,6.7,64,5.0,4700,29999
631,3.9,6.0,32.0,4.54,48,12.0,1750,1110
174,4.2,4.0,64.0,5.99,40,12.0,3010,14990
5,4.7,8.0,128.0,5.8,35,12.0,5000,140300
54,3.8,6.0,32.0,4.54,48,9.78483245149912,2800,1299
784,3.8,12.0,24.0,2.0,64,14.0,1550,1690
254,3.4,6.0,64.0,4.5,48,8.0,3000,1199
599,4.5,8.0,128.0,6.44,48,8.0,4700,24990
618,3.9,6.0,32.0,4.5,64,9.78483245149912,2000,749
97,3.4,6.0,32.0,4.77,48,8.0,3000,559
396,4.4,6.0,128.0,6.5,48,5.0,3800,17990
76,3.8,6.0,64.0,4.54,48,9.78483245149912,2800,649
616,4.3,2.0,64.0,4.4,64,9.78483245149912,3500,1346
728,4.5,8.0,256.0,6.18,35,5.0,3800,22999
799,4.1,6.0,32.0,4.54,64,20.0,3500,949
336,3.0,8.0,64.0,4.54,48,9.78483245149912,3800,899
486,3.8,6.0,32.0,4.4,48,14.0,3000,930
445,3.8,12.0,24.0,2.0,64,9.78483245149912,1550,1690
485,3.5,6.0,32.0,4.5,64,14.0,1050,799
84,4.5,8.0,256.0,6.5,48,8.0,3800,38990
10,3.9,6.0,32.0,4.54,64,8.0,4100,1099
231,3.5,6.0,64.0,4.5,48,21.0,3000,1099
110,3.9,6.0,32.0,4.8,48,9.78483245149912,3000,940
296,3.9,6.0,32.0,4.54,64,9.78483245149912,4100,1099
788,4.4,6.0,32.0,4.5,64,9.78483245149912,3000,649
292,4.4,8.0,128.0,6.7,64,5.0,4700,29999
667,3.8,12.0,64.0,4.54,48,9.78483245149912,2800,1460
331,4.3,4.0,64.0,6.5,38,8.0,3800,14999
118,4.1,1.0,16.0,4.58,48,8.0,3800,2299
662,4.1,8.0,64.0,4.77,48,18.0,3000,1275
626,3.6,6.0,64.0,4.5,48,9.78483245149912,3500,629
29,3.6,8.0,32.0,4.5,48,9.78483245149912,3000,649
669,4.5,8.0,128.0,6.7,48,12.0,4700,42999
770,4.2,4.0,3.0,4.77,48,9.78483245149912,1750,1299
365,3.9,6.0,32.0,4.54,48,9.78483245149912,3000,1349
720,4.5,8.0,256.0,6.39,48,13.0,3800,29999
81,4.2,4.0,4.0,4.54,48,9.78483245149912,1020,1500
569,4.4,6.0,128.0,6.3,26,5.0,3000,27999
316,3.9,6.0,32.0,4.54,25,9.78483245149912,3000,1329
525,3.9,6.0,32.0,4.54,48,13.0,3000,1330
672,4.5,6.0,64.0,6.3,48,2.0,3500,18990
715,3.6,6.0,32.0,4.5,48,8.0,3000,639
329,3.8,6.0,32.0,4.7,64,9.78483245149912,3500,3999
671,4.3,4.0,128.0,6.4,48,8.0,3800,18570
429,4.5,8.0,256.0,6.67,48,8.0,3800,42990
539,3.9,6.0,32.0,4.5,64,9.78483245149912,3000,1089
695,3.0,8.0,64.0,4.54,48,9.78483245149912,3800,699
513,4.4,6.0,32.0,4.54,48,13.0,1900,1570
670,3.9,6.0,32.0,4.4,64,22.0,3500,890
7,4.5,8.0,128.0,6.7,48,12.0,4700,47999
753,4.5,6.0,128.0,6.18,35,5.0,3800,18999
744,4.1,6.0,32.0,4.5,48,9.78483245149912,3000,985
101,4.2,2.0,16.0,5.7,38,8.0,3180,9490
362,3.6,6.0,64.0,4.5,48,9.78483245149912,3500,629
352,4.4,6.0,64.0,6.53,64,8.0,4700,16899
453,4.2,6.0,24.0,4.54,48,8.0,1750,1799
685,4.5,8.0,256.0,6.18,35,5.0,3800,22999
2,4.3,4.0,4.0,4.5,64,16.0,4000,15000
746,4.3,4.0,4.0,4.5,64,9.78483245149912,3500,3000
433,3.7,6.0,32.0,2.0,64,16.0,1550,1699
617,4.5,4.0,64.0,5.6,35,20.0,3000,30999
192,4.2,4.0,2.0,2.0,48,9.78483245149912,3000,2025
653,4.1,6.0,32.0,4.4,48,9.78483245149912,2500,970
456,3.9,12.0,12.0,4.54,48,5.0,3000,1579
778,4.2,4.0,64.0,4.5,64,22.0,3500,1098
532,4.1,8.0,128.0,6.4,35,20.0,3000,31590
478,4.7,8.0,64.0,6.5,35,12.0,3500,117100
346,3.9,6.0,32.0,4.77,48,5.0,2800,982
462,4.1,3.0,32.0,5.4,38,5.0,3000,7490
691,4.1,6.0,32.0,3.7,64,22.0,3500,990
302,4.1,6.0,32.0,3.7,64,9.78483245149912,3500,990
763,4.5,8.0,128.0,6.7,48,12.0,4700,47999
79,4.4,6.0,64.0,6.41,48,2.0,3600,18989
148,4.2,6.0,64.0,6.3,48,5.0,3500,18099
367,4.0,8.0,64.0,4.77,48,9.78483245149912,2500,1045
196,3.6,6.0,64.0,4.5,48,9.78483245149912,3000,639
377,3.7,8.0,64.0,4.5,64,9.78483245149912,1050,799
338,4.1,6.0,32.0,4.4,48,9.78483245149912,2500,935
576,4.4,6.0,128.0,6.4,48,12.0,3800,25250
323,4.5,8.0,128.0,6.5,64,13.0,3800,31999
198,4.7,12.0,64.0,5.8,35,12.0,3500,84900
133,3.7,8.0,64.0,4.5,48,5.0,3000,479
756,3.9,6.0,32.0,4.54,64,11.0,4100,1099
227,4.8,12.0,15.0,4.5,35,9.78483245149912,2800,899
768,3.8,6.0,32.0,4.54,25,15.0,2500,1240
55,4.1,8.0,64.0,4.54,64,13.0,2500,1390
447,4.5,6.0,128.0,6.39,48,32.0,3000,21099
630,4.0,8.0,64.0,4.77,48,9.78483245149912,3500,1045
828,4.6,4.0,64.0,6.2,35,8.0,3500,53990
405,3.8,6.0,32.0,4.4,48,12.0,2500,705
575,4.3,6.0,32.0,4.5,25,9.78483245149912,1080,649
557,4.5,6.0,128.0,6.39,48,13.0,3800,24999
209,4.1,6.0,32.0,4.5,48,15.0,3000,1099
309,3.8,6.0,32.0,4.54,25,9.78483245149912,3000,1240
398,4.1,8.0,64.0,4.77,48,9.78483245149912,3800,1275
60,4.4,3.0,32.0,6.2,48,1.0,3800,9790
597,3.8,6.0,32.0,4.7,64,5.0,5000,3999
394,3.7,6.0,64.0,4.54,48,12.0,1500,749
423,4.1,6.0,32.0,44.0,48,15.0,3000,935
584,3.5,6.0,64.0,4.5,48,9.78483245149912,3000,599
603,3.0,8.0,64.0,4.54,48,23.0,3800,899
552,4.4,3.0,32.0,6.2,48,1.0,3800,9790
388,3.6,8.0,64.0,4.54,64,5.0,2500,1079
589,4.4,2.0,32.0,6.22,38,5.0,4030,8995
213,4.3,3.0,64.0,6.22,38,2.0,5000,9998
311,4.6,6.0,32.0,4.5,25,8.0,1080,649
752,3.7,4.0,64.0,5.99,38,13.0,3800,24999
90,3.9,5.0,32.0,4.54,48,8.0,3000,1049
783,3.6,6.0,64.0,4.54,48,14.0,3000,699
181,4.1,4.0,3.0,4.5,48,12.0,3000,949
428,3.4,6.0,64.0,4.54,20,9.78483245149912,3500,1299
381,3.4,6.0,32.0,4.5,48,9.78483245149912,1050,629
668,4.5,8.0,256.0,6.5,48,8.0,3800,38990
158,4.4,6.0,128.0,6.5,40,2.0,3750,13699
69,3.9,3.0,16.0,5.0,38,5.0,4200,8990
590,3.9,6.0,32.0,4.77,25,9.78483245149912,3000,899
131,4.4,2.0,16.0,5.0,38,2.0,3050,13999
44,3.9,6.0,32.0,4.77,48,9.78483245149912,1750,1451
281,4.3,8.0,128.0,6.5,48,8.0,5000,15990
70,4.1,6.0,32.0,4.54,48,9.78483245149912,3000,3149
677,4.1,6.0,32.0,4.5,48,9.78483245149912,3000,985
383,4.6,8.0,256.0,6.67,48,1.0,4085,46970
326,4.5,6.0,128.0,6.4,64,8.0,6000,19900
424,4.1,6.0,32.0,44.0,48,15.0,3000,970
135,4.7,8.0,64.0,6.5,35,12.0,3500,117100
82,3.9,6.0,64.0,4.54,48,9.78483245149912,3600,1799
